"t (s)","Inclination (deg)","Rotation (deg)"
5.334185420E-1,2.410586393E-1,3.880261135E1
1.533418542E0,2.005828371E-1,3.702296872E1
2.033418542E0,2.376021376E-1,3.602128062E1
2.533418542E0,2.314462810E-1,3.969339298E1
3.033418542E0,2.200354076E-1,3.308950993E1
3.533418542E0,2.598146223E-1,3.589714590E1
4.033418542E0,2.260400652E-1,3.390272050E1
4.533418542E0,4.619308599E0,8.928730859E1
5.033418542E0,2.663696751E1,9.017303552E1
5.533418542E0,5.324854354E1,9.003069226E1
6.033418542E0,6.749939742E1,8.990757502E1
6.533418542E0,7.695128084E1,8.998360845E1
7.033418542E0,8.479245506E1,8.996362049E1
7.533418542E0,8.950906891E1,8.998446273E1
8.033418542E0,9.001857224E1,8.996868953E1
8.533418542E0,9.013957038E1,9.001881424E1
9.033418542E0,9.018598731E1,8.998092956E1
9.533418542E0,8.995563713E1,8.997396917E1
1.003341854E1,1.088005097E2,8.998235016E1
1.053341854E1,1.348105682E2,8.987567345E1
1.103341854E1,1.604025759E2,8.937874531E1
1.153341854E1,1.751071762E2,9.093673382E1
1.203341854E1,1.794017541E2,1.147351469E2
1.253341854E1,1.796128571E2,1.547011785E2
1.303341854E1,1.796115335E2,1.525226360E2
1.353341854E1,1.796056354E2,1.515369393E2
1.403341854E1,1.795922455E2,1.546166142E2
1.453341854E1,1.796166104E2,1.559742994E2
1.503341854E1,1.796032502E2,1.542970638E2
1.553341854E1,1.796183169E2,1.536277445E2
1.603341854E1,1.768707834E2,-9.615218350E1
1.653341854E1,1.545466213E2,-9.095284673E1
1.703341854E1,1.260301541E2,-9.023145317E1
1.753341854E1,1.046321645E2,-9.020690627E1
1.803341854E1,9.147778671E1,-9.003016279E1
1.853341854E1,8.951779053E1,-9.001239044E1
1.903341854E1,8.928309907E1,-9.000350589E1
1.953341854E1,8.904701742E1,-9.000302055E1
2.003341854E1,8.882907560E1,-8.999413397E1
2.053341854E1,8.911400834E1,-9.001221819E1
2.103341854E1,8.942359623E1,-9.000182118E1
2.153341854E1,8.415451197E1,-9.007160922E1
2.203341854E1,6.396594892E1,-8.965895818E1
2.253341854E1,2.885690690E1,-8.976593690E1
2.303341854E1,7.324225819E0,-8.624810824E1
2.353341854E1,2.052371430E0,-8.201853714E1
